id,date,season,week,attendance,stadiumId,gameDuration,roofType
20181202INDJAX,2018-12-02T13:00:00,2018,Week 13,67030,TIAA Bank Stadium,2:51:00,
20181202ARIGNB,2018-12-02T13:00:00,2018,Week 13,77234,Lambeau Field,3:10:00,
20181202LARDET,2018-12-02T13:00:00,2018,Week 13,60974,Ford Field,3:14:00,
20181202KANOAK,2018-12-02T16:05:00,2018,Week 13,54255,Oakland-Alameda County Coliseum,3:17:00,
20181202NYJTEN,2018-12-02T16:05:00,2018,Week 13,60904,Nissan Stadium,3:17:00,
20181202MINNWE,2018-12-02T16:25:00,2018,Week 13,65878,Gillette Stadium,2:58:00,
20181202SFOSEA,2018-12-02T16:25:00,2018,Week 13,69009,CenturyLink Field,3:15:00,
20181202LACPIT,2018-12-02T20:20:00,2018,Week 13,61069,Heinz Field,3:10:00,
20181203WASPHI,2018-12-03T20:15:00,2018,Week 13,69696,Lincoln Financial Field,2:57:00,
20181206JAXTEN,2018-12-06T20:20:00,2018,Week 14,60344,Nissan Stadium,2:58:00,
20181209ATLGNB,2018-12-09T13:00:00,2018,Week 14,77329,Lambeau Field,3:12:00,
20181209NYJBUF,2018-12-09T13:00:00,2018,Week 14,59119,New Era Field,3:12:00,
20181209CARCLE,2018-12-09T13:00:00,2018,Week 14,59392,FirstEnergy Stadium,3:10:00,
20181209INDHOU,2018-12-09T13:00:00,2018,Week 14,71814,NRG Stadium,3:10:00,closed
20181209BALKAN,2018-12-09T13:00:00,2018,Week 14,74336,Arrowhead Stadium,3:28:00,
20181209NWEMIA,2018-12-09T13:00:00,2018,Week 14,66087,Hard Rock Stadium,3:08:00,
20181209NORTAM,2018-12-09T13:00:00,2018,Week 14,53495,Raymond James Stadium,3:12:00,
20181209NYGWAS,2018-12-09T13:00:00,2018,Week 14,57437,FedExField,3:01:00,
20181209CINLAC,2018-12-09T16:05:00,2018,Week 14,25358,StubHub Center,2:58:00,
20181209DENSFO,2018-12-09T16:05:00,2018,Week 14,69449,Levi's Stadium,3:19:00,
20181209DETARI,2018-12-09T16:25:00,2018,Week 14,62014,State Farm Stadium,2:57:00,closed
20181209PHIDAL,2018-12-09T16:25:00,2018,Week 14,93127,AT&T Stadium,3:28:00,closed
20181209PITOAK,2018-12-09T16:25:00,2018,Week 14,53960,Oakland-Alameda County Coliseum,3:04:00,
20181209LARCHI,2018-12-09T20:20:00,2018,Week 14,61695,Soldier Field,3:12:00,
20181210MINSEA,2018-12-10T20:15:00,2018,Week 14,69007,CenturyLink Field,2:55:00,
20181213LACKAN,2018-12-13T20:20:00,2018,Week 15,75091,Arrowhead Stadium,3:09:00,
20181215HOUNYJ,2018-12-15T16:30:00,2018,Week 15,77982,MetLife Stadium,3:09:00,
20181215CLEDEN,2018-12-15T20:20:00,2018,Week 15,76596,Sports Authority Field at Mile High,3:06:00,
20181216ARIATL,2018-12-16T13:00:00,2018,Week 15,72084,Mercedes-Benz Stadium,3:07:00,closed
20181216DETBUF,2018-12-16T13:00:00,2018,Week 15,59110,New Era Field,2:58:00,
20181216GNBCHI,2018-12-16T13:00:00,2018,Week 15,62372,Soldier Field,2:58:00,
20181216OAKCIN,2018-12-16T13:00:00,2018,Week 15,44568,Paul Brown Stadium,3:13:00,
20181216DALIND,2018-12-16T13:00:00,2018,Week 15,66654,Lucas Oil Stadium,2:54:00,closed
20181216WASJAX,2018-12-16T13:00:00,2018,Week 15,67577,TIAA Bank Stadium,2:52:00,
20181216MIAMIN,2018-12-16T13:00:00,2018,Week 15,66841,U.S. Bank Stadium,3:03:00,
20181216TENNYG,2018-12-16T13:00:00,2018,Week 15,74538,MetLife Stadium,3:07:00,
20181216TAMBAL,2018-12-16T13:00:00,2018,Week 15,70031,M&T Bank Stadium,2:50:00,
20181216SEASFO,2018-12-16T16:05:00,2018,Week 15,68836,Levi's Stadium,3:18:00,
20181216NWEPIT,2018-12-16T16:25:00,2018,Week 15,65280,Heinz Field,2:56:00,
20181216PHILAR,2018-12-16T20:20:00,2018,Week 15,74210,Los Angeles Memorial Coliseum,3:15:00,
20181217NORCAR,2018-12-17T20:15:00,2018,Week 15,74188,Bank of America Stadium,3:02:00,
20181222WASTEN,2018-12-22T16:30:00,2018,Week 16,60746,Nissan Stadium,2:44:00,
20181222BALLAC,2018-12-22T20:20:00,2018,Week 16,25571,StubHub Center,2:56:00,
20181223ATLCAR,2018-12-23T13:00:00,2018,Week 16,73722,Bank of America Stadium,3:00:00,
20181223BUFNWE,2018-12-23T13:00:00,2018,Week 16,65878,Gillette Stadium,3:01:00,
20181223CINCLE,2018-12-23T13:00:00,2018,Week 16,67431,FirstEnergy Stadium,2:45:00,
20181223NYGIND,2018-12-23T13:00:00,2018,Week 16,61738,Lucas Oil Stadium,2:59:00,closed
20181223TAMDAL,2018-12-23T13:00:00,2018,Week 16,92851,AT&T Stadium,3:00:00,closed
20181223MINDET,2018-12-23T13:00:00,2018,Week 16,61641,Ford Field,3:09:00,
20181223GNBNYJ,2018-12-23T13:00:00,2018,Week 16,77982,MetLife Stadium,3:47:00,
20181223HOUPHI,2018-12-23T13:00:00,2018,Week 16,69696,Lincoln Financial Field,3:17:00,
20181223JAXMIA,2018-12-23T13:00:00,2018,Week 16,65798,Hard Rock Stadium,2:50:00,
20181223CHISFO,2018-12-23T16:05:00,2018,Week 16,70806,Levi's Stadium,3:08:00,
