id,date,season
20191031SFOARI,2019-10-31T20:20:00,2019
20191103HOUJAX,2019-11-03T09:30:00,2019
20191103WASBUF,2019-11-03T13:00:00,2019
20191103TENCAR,2019-11-03T13:00:00,2019
20191103CHIPHI,2019-11-03T13:00:00,2019
20191103INDPIT,2019-11-03T13:00:00,2019
20191103NYJMIA,2019-11-03T13:00:00,2019
20191103MINKAN,2019-11-03T13:00:00,2019
20191103DETOAK,2019-11-03T16:05:00,2019
20191103TAMSEA,2019-11-03T16:05:00,2019
20191103CLEDEN,2019-11-03T16:25:00,2019
20191103GNBLAC,2019-11-03T16:25:00,2019
20191103NWEBAL,2019-11-03T20:20:00,2019
20191104DALNYG,2019-11-04T20:15:00,2019
20191107LACOAK,2019-11-07T20:20:00,2019
20191110ATLNOR,2019-11-10T13:00:00,2019
20191110BUFCLE,2019-11-10T13:00:00,2019
20191110DETCHI,2019-11-10T13:00:00,2019
20191110BALCIN,2019-11-10T13:00:00,2019
20191110ARITAM,2019-11-10T13:00:00,2019
20191110KANTEN,2019-11-10T13:00:00,2019
20191110NYGNYJ,2019-11-10T13:00:00,2019
20191110MIAIND,2019-11-10T16:05:00,2019
20191110CARGNB,2019-11-10T16:25:00,2019
20191110LARPIT,2019-11-10T16:25:00,2019
20191110MINDAL,2019-11-10T20:20:00,2019
20191111SEASFO,2019-11-11T20:15:00,2019
20191114PITCLE,2019-11-14T20:20:00,2019
20191117ATLCAR,2019-11-17T13:00:00,2019
20191117BUFMIA,2019-11-17T13:00:00,2019
20191117JAXIND,2019-11-17T13:00:00,2019
20191117DALDET,2019-11-17T13:00:00,2019
20191117DENMIN,2019-11-17T13:00:00,2019
20191117HOUBAL,2019-11-17T13:00:00,2019
20191117NORTAM,2019-11-17T13:00:00,2019
20191117NYJWAS,2019-11-17T13:00:00,2019
20191117ARISFO,2019-11-17T16:05:00,2019
20191117CINOAK,2019-11-17T16:25:00,2019
20191117NWEPHI,2019-11-17T16:25:00,2019
20191117CHILAR,2019-11-17T20:20:00,2019
20191118KANLAC,2019-11-18T20:15:00,2019
20191121INDHOU,2019-11-21T20:20:00,2019
20191124TAMATL,2019-11-24T13:00:00,2019
20191124DENBUF,2019-11-24T13:00:00,2019
20191124CARNOR,2019-11-24T13:00:00,2019
20191124NYGCHI,2019-11-24T13:00:00,2019
20191124PITCIN,2019-11-24T13:00:00,2019
20191124MIACLE,2019-11-24T13:00:00,2019
20191124DETWAS,2019-11-24T13:00:00,2019
20191124OAKNYJ,2019-11-24T13:00:00,2019
20191124SEAPHI,2019-11-24T13:00:00,2019
20191124JAXTEN,2019-11-24T16:05:00,2019
20191124DALNWE,2019-11-24T16:25:00,2019
20191124GNBSFO,2019-11-24T20:20:00,2019
20191125BALLAR,2019-11-25T20:15:00,2019
20191128CHIDET,2019-11-28T12:30:00,2019
20191128BUFDAL,2019-11-28T16:30:00,2019
20191128NORATL,2019-11-28T20:20:00,2019
20191201WASCAR,2019-12-01T13:00:00,2019
20191201NYJCIN,2019-12-01T13:00:00,2019
20191201CLEPIT,2019-12-01T13:00:00,2019
20191201TENIND,2019-12-01T13:00:00,2019
20191201GNBNYG,2019-12-01T13:00:00,2019
20191201TAMJAX,2019-12-01T13:00:00,2019
20191201PHIMIA,2019-12-01T13:00:00,2019
20191201SFOBAL,2019-12-01T13:00:00,2019
20191201LARARI,2019-12-01T16:05:00,2019
20191201LACDEN,2019-12-01T16:25:00,2019
20191201OAKKAN,2019-12-01T16:25:00,2019
20191201NWEHOU,2019-12-01T20:20:00,2019
20191202MINSEA,2019-12-02T20:15:00,2019
20191205DALCHI,2019-12-05T20:20:00,2019
20191208CARATL,2019-12-08T13:00:00,2019
20191208BALBUF,2019-12-08T13:00:00,2019
20191208CINCLE,2019-12-08T13:00:00,2019
20191208INDTAM,2019-12-08T13:00:00,2019
20191208DENHOU,2019-12-08T13:00:00,2019
20191208DETMIN,2019-12-08T13:00:00,2019
20191208WASGNB,2019-12-08T13:00:00,2019
20191208MIANYJ,2019-12-08T13:00:00,2019
20191208SFONOR,2019-12-08T13:00:00,2019
20191208LACJAX,2019-12-08T16:05:00,2019
20191208PITARI,2019-12-08T16:25:00,2019
20191208KANNWE,2019-12-08T16:25:00,2019
20191208TENOAK,2019-12-08T16:25:00,2019
20191208SEALAR,2019-12-08T20:20:00,2019
20191209NYGPHI,2019-12-09T20:15:00,2019
20191212NYJBAL,2019-12-12T20:20:00,2019
20191215SEACAR,2019-12-15T13:00:00,2019
20191215CHIGNB,2019-12-15T13:00:00,2019
20191215NWECIN,2019-12-15T13:00:00,2019
20191215DENKAN,2019-12-15T13:00:00,2019
20191215TAMDET,2019-12-15T13:00:00,2019
20191215HOUTEN,2019-12-15T13:00:00,2019
20191215MIANYG,2019-12-15T13:00:00,2019
20191215PHIWAS,2019-12-15T13:00:00,2019
20191215CLEARI,2019-12-15T16:05:00,2019
20191215JAXOAK,2019-12-15T16:05:00,2019
20191215MINLAC,2019-12-15T16:05:00,2019
20191215ATLSFO,2019-12-15T16:25:00,2019
20191215LARDAL,2019-12-15T16:25:00,2019
20191215BUFPIT,2019-12-15T20:20:00,2019
20191216INDNOR,2019-12-16T20:15:00,2019
20191221HOUTAM,2019-12-21T13:00:00,2019
20191221BUFNWE,2019-12-21T16:30:00,2019
20191221LARSFO,2019-12-21T20:15:00,2019
20191222JAXATL,2019-12-22T13:00:00,2019
20191222CARIND,2019-12-22T13:00:00,2019
20191222CINMIA,2019-12-22T13:00:00,2019
20191222BALCLE,2019-12-22T13:00:00,2019
20191222NORTEN,2019-12-22T13:00:00,2019
20191222NYGWAS,2019-12-22T13:00:00,2019
20191222PITNYJ,2019-12-22T13:00:00,2019
20191222DETDEN,2019-12-22T16:05:00,2019
20191222OAKLAC,2019-12-22T16:05:00,2019
20191222ARISEA,2019-12-22T16:25:00,2019
20191222DALPHI,2019-12-22T16:25:00,2019
20191222KANCHI,2019-12-22T20:20:00,2019
20191223GNBMIN,2019-12-23T20:15:00,2019
20191229ATLTAM,2019-12-29T13:00:00,2019
20191229NYJBUF,2019-12-29T13:00:00,2019
20191229NORCAR,2019-12-29T13:00:00,2019
20191229CHIMIN,2019-12-29T13:00:00,2019
20191229CLECIN,2019-12-29T13:00:00,2019
20191229GNBDET,2019-12-29T13:00:00,2019
20191229LACKAN,2019-12-29T13:00:00,2019
20191229MIANWE,2019-12-29T13:00:00,2019
20191229INDJAX,2019-12-29T16:25:00,2019
20191229ARILAR,2019-12-29T16:25:00,2019
20191229WASDAL,2019-12-29T16:25:00,2019
20191229OAKDEN,2019-12-29T16:25:00,2019
20191229TENHOU,2019-12-29T16:25:00,2019
20191229PHINYG,2019-12-29T16:25:00,2019
20191229PITBAL,2019-12-29T16:25:00,2019
20191229SFOSEA,2019-12-29T20:20:00,2019
20200104BUFHOU,2020-01-04T16:35:00,2019
20200104TENNWE,2020-01-04T20:15:00,2019
20200105MINNOR,2020-01-05T13:05:00,2019
20200105SEAPHI,2020-01-05T16:40:00,2019
20200111MINSFO,2020-01-11T16:35:00,2019
20200111TENBAL,2020-01-11T20:15:00,2019
20200112HOUKAN,2020-01-12T15:05:00,2019
20200112SEAGNB,2020-01-12T18:40:00,2019
20200119TENKAN,2020-01-19T15:05:00,2019
20200119GNBSFO,2020-01-19T18:40:00,2019
20200202SFOKAN,2020-02-02T18:30:00,2019
20200910HOUKAN,2020-09-10T20:20:00,2020
20200913SEAATL,2020-09-13T13:00:00,2020
20200913NYJBUF,2020-09-13T13:00:00,2020
20200913LVRCAR,2020-09-13T13:00:00,2020
20200913CHIDET,2020-09-13T13:00:00,2020
20200913CLEBAL,2020-09-13T13:00:00,2020
20200913INDJAX,2020-09-13T13:00:00,2020
20200913GNBMIN,2020-09-13T13:00:00,2020
20200913MIANWE,2020-09-13T13:00:00,2020
20200913PHIWAS,2020-09-13T13:00:00,2020
20200913LACCIN,2020-09-13T16:05:00,2020
20200913ARISFO,2020-09-13T16:25:00,2020
20200913TAMNOR,2020-09-13T16:25:00,2020
20200913DALLAR,2020-09-13T20:20:00,2020
20200914PITNYG,2020-09-14T19:15:00,2020
20200914TENDEN,2020-09-14T22:10:00,2020
20200917CINCLE,2020-09-17T20:20:00,2020
